sweep,sweepTime,elevAngle,value,radialAng,begGateRan,endGateRan,heightRel,heightASL,geom,a,b,c,d
5,2012-04-22T14:50:25Z,3.515625,-2.5,51.498413,74360.01,74609.54,4894.045,4903.189,POLYGON ((-121.00463361188696 38.9187921983276, -120.99882723619741 38.913003485806954, -121.0011071918809 38.911632476096294, -121.00828898576422 38.9187921983276, -121.00463361188696 38.9187921983276))
5,2012-04-22T14:50:25Z,3.515625,-6,51.498413,74609.54,74859.07,4911.5645,4920.7085,POLYGON ((-121.00097828159122 38.9187921983276, -120.99654719356262 38.91437445131782, -120.99882723619741 38.913003485806954, -121.00463361188696 38.9187921983276, -121.00097828159122 38.9187921983276))
5,2012-04-22T14:50:25Z,3.515625,-0.5,56.47522,73361.89,73611.42,4824.041,4833.185,POLYGON ((-120.97579517953041 38.868545700187425, -120.9733990581685 38.869788304868884, -120.9655431539801 38.8603607890366, -120.96796572436774 38.859150301484476, -120.97579517953041 38.868545700187425))
5,2012-04-22T14:50:25Z,3.515625,-2,56.47522,73611.42,73860.95,4841.531,4850.675,POLYGON ((-120.9733990581685 38.869788304868884, -120.97100285403403 38.871030860707506, -120.96312050208 38.86157122665781, -120.9655431539801 38.8603607890366, -120.9733990581685 38.869788304868884))
5,2012-04-22T14:50:25Z,3.515625,-6.5,59.51294,68620.81,68870.34,4493.1235,4502.2676,POLYGON ((-120.99925222079243 38.81741733175074, -120.99677804405586 38.818560373846786, -120.98988250656478 38.80924500655206, -120.9923814540448 38.808135860134264, -120.99925222079243 38.81741733175074))
5,2012-04-22T14:50:25Z,3.515625,-5,59.51294,68870.34,69119.875,4510.474,4519.618,POLYGON ((-120.99677804405586 38.818560373846786, -120.994303788755 38.81970336382915, -120.9873834820971 38.810354099805004, -120.98988250656478 38.80924500655206, -120.99677804405586 38.818560373846786))
5,2012-04-22T14:50:25Z,3.515625,-3.5,60.490723,68870.34,69119.875,4510.474,4519.618,POLYGON ((-120.98988250656478 38.80924500655206, -120.9873834820971 38.810354099805004, -120.98078289727299 38.80106916696927, -120.98330552774391 38.79999373284357, -120.98988250656478 38.80924500655206))
5,2012-04-22T14:50:25Z,3.515625,-2.5,60.490723,69119.875,69369.41,4527.832,4536.976,POLYGON ((-120.9873834820971 38.810354099805004, -120.98488438064189 38.811463139891025, -120.97826019145575 38.80214454691637, -120.98078289727299 38.80106916696927, -120.9873834820971 38.810354099805004))
5,2012-04-22T14:50:25Z,3.515625,2,60.490723,69618.94,69868.47,4562.5703,4571.7144,POLYGON ((-120.98238520219931 38.8125721268082, -120.97988594676949 38.813681060554444, -120.97321455378392 38.80429514426667, -120.9757374102926 38.803219872682824, -120.98238520219931 38.8125721268082))
5,2012-04-22T14:50:25Z,3.515625,3,60.490723,69868.47,70117.99,4579.95,4589.094,POLYGON ((-120.97988594676949 38.813681060554444, -120.97738661435248 38.814789941127785, -120.97069162193013 38.80537036166576, -120.97321455378392 38.80429514426667, -120.97988594676949 38.813681060554444))
5,2012-04-22T14:50:25Z,3.515625,-8.5,61.468506,57142.42,57391.953,3702.9192,3712.0632,POLYGON ((-121.10178416169778 38.74938725280193, -121.09926507296258 38.75046523103668, -121.09390153560422 38.742622892414815, -121.09644374849292 38.74157912542635, -121.10178416169778 38.74938725280193))
5,2012-04-22T14:50:25Z,3.515625,-8,61.468506,57391.953,57641.484,3719.9326,3729.0767,POLYGON ((-121.09926507296258 38.75046523103668, -121.09674590886215 38.75154315518799, -121.09135924908043 38.74366660432293, -121.09390153560422 38.742622892414815, -121.09926507296258 38.75046523103668))
5,2012-04-22T14:50:25Z,3.515625,-6,61.468506,57641.484,57891.016,3736.9534,3746.0974,POLYGON ((-121.09674590886215 38.75154315518799, -121.09422666939683 38.75262102525389, -121.08881688892227 38.74471026114876, -121.09135924908043 38.74366660432293, -121.09674590886215 38.75154315518799))
5,2012-04-22T14:50:25Z,3.515625,-5,61.468506,57891.016,58140.543,3753.9814,3763.1252,POLYGON ((-121.09422666939683 38.75262102525389, -121.09170735456706 38.75369884123232, -121.08627445513032 38.74575386289028, -121.08881688892227 38.74471026114876, -121.09422666939683 38.75262102525389))
5,2012-04-22T14:50:25Z,3.515625,0.5,61.468506,58140.543,58390.074,3771.0166,3780.1606,POLYGON ((-121.09170735456706 38.75369884123232, -121.08918796437327 38.754776603121286, -121.08373194770542 38.74679740954542, -121.08627445513032 38.74575386289028, -121.09170735456706 38.75369884123232))
5,2012-04-22T14:50:25Z,3.515625,-6.5,61.468506,69868.47,70117.99,4579.95,4589.094,POLYGON ((-120.97321455378392 38.80429514426667, -120.97069162193013 38.80537036166576, -120.96415105330516 38.795781927589154, -120.96669702070683 38.7947409722789, -120.97321455378392 38.80429514426667))
5,2012-04-22T14:50:25Z,3.515625,0.5,61.468506,70117.99,70367.52,4597.338,4606.482,POLYGON ((-120.97069162193013 38.80537036166576, -120.9681686147317 38.80644552487813, -120.96160501230368 38.79682282771567, -120.96415105330516 38.795781927589154, -120.97069162193013 38.80537036166576))
5,2012-04-22T14:50:25Z,3.515625,3.5,61.468506,70367.52,70617.055,4614.7324,4623.8765,POLYGON ((-120.9681686147317 38.80644552487813, -120.965645532189 38.80752063390173, -120.95905889770303 38.79786367265654, -120.96160501230368 38.79682282771567, -120.9681686147317 38.80644552487813))
5,2012-04-22T14:50:25Z,3.515625,3,61.468506,70617.055,70866.586,4632.1343,4641.2783,POLYGON ((-120.965645532189 38.80752063390173, -120.96312237430247 38.80859568873449, -120.95651270950405 38.79890446240965, -120.95905889770303 38.79786367265654, -120.965645532189 38.80752063390173))
5,2012-04-22T14:50:25Z,3.515625,4.5,61.468506,70866.586,71116.12,4649.544,4658.688,POLYGON ((-120.96312237430247 38.80859568873449, -120.96059914107252 38.809670689374585, -120.95396644770729 38.79994519697302, -120.95651270950405 38.79890446240965, -120.96312237430247 38.80859568873449))
5,2012-04-22T14:50:25Z,3.515625,3.5,61.468506,71116.12,71365.65,4666.9604,4676.1045,POLYGON ((-120.96059914107252 38.809670689374585, -120.9580758324995 38.81074563581969, -120.95142011231356 38.80098587634461, -120.95396644770729 38.79994519697302, -120.96059914107252 38.809670689374585))
5,2012-04-22T14:50:25Z,3.515625,5.5,61.468506,71365.65,71615.18,4684.385,4693.5283,POLYGON ((-120.9580758324995 38.81074563581969, -120.95555244858397 38.811820528068026, -120.94887370332354 38.802026500522324, -120.95142011231356 38.80098587634461, -120.9580758324995 38.81074563581969))
5,2012-04-22T14:50:25Z,3.515625,5,61.468506,71615.18,71864.71,4701.816,4710.96,POLYGON ((-120.95555244858397 38.811820528068026, -120.95302898932621 38.812895366117395, -120.94632722073794 38.80306706950424, -120.94887370332354 38.802026500522324, -120.95555244858397 38.811820528068026))
5,2012-04-22T14:50:25Z,3.515625,6,61.468506,71864.71,72114.234,4719.2544,4728.3984,POLYGON ((-120.95302898932621 38.812895366117395, -120.9505054547267 38.81397014996585, -120.94378066455745 38.80410758328829, -120.94632722073794 38.80306706950424, -120.95302898932621 38.812895366117395))
5,2012-04-22T14:50:25Z,3.515625,2.5,61.468506,72114.234,72363.766,4736.7007,4745.8447,POLYGON ((-120.9505054547267 38.81397014996585, -120.9479818447859 38.81504487961133, -120.94123403478281 38.80514804187234, -120.94378066455745 38.80410758328829, -120.9505054547267 38.81397014996585))
5,2012-04-22T14:50:25Z,3.515625,2,61.468506,72363.766,72613.3,4754.154,4763.298,POLYGON ((-120.9479818447859 38.81504487961133, -120.94545815950414 38.8161195550518, -120.9386873314147 38.80618844525453, -120.94123403478281 38.80514804187234, -120.9479818447859 38.81504487961133))
5,2012-04-22T14:50:25Z,3.515625,2,61.468506,72613.3,72862.83,4771.6147,4780.759,POLYGON ((-120.94545815950414 38.8161195550518, -120.9429343988819 38.817194176285305, -120.93614055445384 38.807228793432685, -120.9386873314147 38.80618844525453, -120.94545815950414 38.8161195550518))
5,2012-04-22T14:50:25Z,3.515625,-4.5,61.468506,72862.83,73112.36,4789.0825,4798.2266,POLYGON ((-120.9429343988819 38.817194176285305, -120.9404105629196 38.818268743309716, -120.93359370390091 38.808269086404906, -120.93614055445384 38.807228793432685, -120.9429343988819 38.817194176285305))
5,2012-04-22T14:50:25Z,3.515625,-2.5,61.468506,73112.36,73361.89,4806.558,4815.702,POLYGON ((-120.9404105629196 38.818268743309716, -120.93788665161762 38.81934325612306, -120.93104677975667 38.809309324169014, -120.93359370390091 38.808269086404906, -120.9404105629196 38.818268743309716))
5,2012-04-22T14:50:25Z,3.515625,1.5,62.46277,71116.12,71365.65,4666.9604,4676.1045,POLYGON ((-120.95396644770729 38.79994519697302, -120.95142011231356 38.80098587634461, -120.9448408729899 38.79091715547206, -120.94740994950962 38.789911823082704, -120.95396644770729 38.79994519697302))
5,2012-04-22T14:50:25Z,3.515625,0,62.46277,71365.65,71615.18,4684.385,4693.5283,POLYGON ((-120.95142011231356 38.80098587634461, -120.94887370332354 38.802026500522324, -120.94227172474885 38.7919224316739, -120.9448408729899 38.79091715547206, -120.95142011231356 38.80098587634461))
5,2012-04-22T14:50:25Z,3.515625,-6.5,62.46277,71615.18,71864.71,4701.816,4710.96,POLYGON ((-120.94887370332354 38.802026500522324, -120.94632722073794 38.80306706950424, -120.93970250478752 38.792927651686234, -120.94227172474885 38.7919224316739, -120.94887370332354 38.802026500522324))
5,2012-04-22T14:50:25Z,3.515625,-1,62.46277,71864.71,72114.234,4719.2544,4728.3984,POLYGON ((-120.94632722073794 38.80306706950424, -120.94378066455745 38.80410758328829, -120.93713321310686 38.79393281550696, -120.93970250478752 38.792927651686234, -120.94632722073794 38.80306706950424))
5,2012-04-22T14:50:25Z,3.515625,-1,62.46277,72114.234,72363.766,4736.7007,4745.8447,POLYGON ((-120.94378066455745 38.80410758328829, -120.94123403478281 38.80514804187234, -120.93456384970789 38.7949379231342, -120.93713321310686 38.79393281550696, -120.94378066455745 38.80410758328829))
5,2012-04-22T14:50:25Z,3.515625,4.5,62.46277,72363.766,72613.3,4754.154,4763.298,POLYGON ((-120.94123403478281 38.80514804187234, -120.9386873314147 38.80618844525453, -120.93199441459164 38.79594297456587, -120.93456384970789 38.7949379231342, -120.94123403478281 38.80514804187234))
5,2012-04-22T14:50:25Z,3.515625,4.5,62.46277,72613.3,72862.83,4771.6147,4780.759,POLYGON ((-120.9386873314147 38.80618844525453, -120.93614055445384 38.807228793432685, -120.92942490775908 38.7969479697999, -120.93199441459164 38.79594297456587, -120.9386873314147 38.80618844525453))
5,2012-04-22T14:50:25Z,3.515625,4.5,62.46277,72862.83,73112.36,4789.0825,4798.2266,POLYGON ((-120.93614055445384 38.807228793432685, -120.93359370390091 38.808269086404906, -120.92685532921122 38.79795290883426, -120.92942490775908 38.7969479697999, -120.93614055445384 38.807228793432685))
5,2012-04-22T14:50:25Z,3.515625,7.5,62.46277,73112.36,73361.89,4806.558,4815.702,POLYGON ((-120.93359370390091 38.808269086404906, -120.93104677975667 38.809309324169014, -120.92428567894905 38.79895779166696, -120.92685532921122 38.79795290883426, -120.93359370390091 38.808269086404906))
