sweep,sweepTime,elevAngle,value,radialAng,surfaceRan,heightRel,heightASL,latitude,longitude
0,2003-03-27T05:47:11Z,0.48339844,12.5,89.384766,28998.896,299.20084,501.28323,41.6067,-87.7368
0,2003-03-27T05:47:11Z,0.48339844,6.0,89.384766,29998.86,311.46378,513.54614,41.6068,-87.7248
0,2003-03-27T05:47:11Z,0.48339844,5.0,89.384766,30998.82,323.8564,525.9388,41.6068,-87.7128
0,2003-03-27T05:47:11Z,0.48339844,8.0,89.384766,31998.783,336.37875,538.4611,41.6069,-87.7008
0,2003-03-27T05:47:11Z,0.48339844,7.0,89.384766,32998.746,349.0308,551.1132,41.6069,-87.6888
0,2003-03-27T05:47:11Z,0.48339844,5.5,89.384766,33998.707,361.81256,563.89496,41.6070,-87.6768
0,2003-03-27T05:47:11Z,0.48339844,2.0,89.384766,34998.668,374.72403,576.80646,41.6071,-87.6648
0,2003-03-27T05:47:11Z,0.48339844,6.0,89.384766,35998.63,387.76523,589.8476,41.6071,-87.6528
0,2003-03-27T05:47:11Z,0.48339844,6.0,89.384766,36998.594,400.9361,603.0185,41.6072,-87.6408
0,2003-03-27T05:47:11Z,0.48339844,-7.0,89.384766,37998.555,414.23672,616.3191,41.6072,-87.6288
0,2003-03-27T05:47:11Z,0.48339844,8.0,89.384766,38998.516,427.66702,629.74945,41.6073,-87.6168
0,2003-03-27T05:47:11Z,0.48339844,12.5,89.384766,39998.477,441.22705,643.30945,41.6073,-87.6048
0,2003-03-27T05:47:11Z,0.48339844,3.0,89.384766,40998.44,454.91678,656.9992,41.6074,-87.5928
0,2003-03-27T05:47:11Z,0.48339844,8.0,89.384766,41998.402,468.73624,670.8186,41.6074,-87.5808
0,2003-03-27T05:47:11Z,0.48339844,11.5,89.384766,42998.363,482.6854,684.76776,41.6074,-87.5688
0,2003-03-27T05:47:11Z,0.48339844,7.0,89.384766,43998.324,496.76425,698.8467,41.6075,-87.5568
0,2003-03-27T05:47:11Z,0.48339844,7.0,90.35156,28998.896,299.20084,501.28323,41.6023,-87.7368
0,2003-03-27T05:47:11Z,0.48339844,12.5,90.35156,29998.86,311.46378,513.54614,41.6022,-87.7248
0,2003-03-27T05:47:11Z,0.48339844,-5.5,90.35156,30998.82,323.8564,525.9388,41.6021,-87.7128
0,2003-03-27T05:47:11Z,0.48339844,9.5,90.35156,31998.783,336.37875,538.4611,41.6020,-87.7008
0,2003-03-27T05:47:11Z,0.48339844,4.0,90.35156,32998.746,349.0308,551.1132,41.6019,-87.6888
0,2003-03-27T05:47:11Z,0.48339844,-2.5,90.35156,33998.707,361.81256,563.89496,41.6018,-87.6768
0,2003-03-27T05:47:11Z,0.48339844,9.5,90.35156,34998.668,374.72403,576.80646,41.6017,-87.6648
0,2003-03-27T05:47:11Z,0.48339844,5.5,90.35156,35998.63,387.76523,589.8476,41.6016,-87.6528
0,2003-03-27T05:47:11Z,0.48339844,8.0,90.35156,36998.594,400.9361,603.0185,41.6015,-87.6408
0,2003-03-27T05:47:11Z,0.48339844,1.5,90.35156,37998.555,414.23672,616.3191,41.6014,-87.6289
0,2003-03-27T05:47:11Z,0.48339844,4.5,90.35156,38998.516,427.66702,629.74945,41.6013,-87.6169
0,2003-03-27T05:47:11Z,0.48339844,6.0,90.35156,39998.477,441.22705,643.30945,41.6012,-87.6049
0,2003-03-27T05:47:11Z,0.48339844,2.5,90.35156,40998.44,454.91678,656.9992,41.6011,-87.5929
0,2003-03-27T05:47:11Z,0.48339844,1.0,90.35156,41998.402,468.73624,670.8186,41.6010,-87.5809
0,2003-03-27T05:47:11Z,0.48339844,3.0,90.35156,42998.363,482.6854,684.76776,41.6009,-87.5689
0,2003-03-27T05:47:11Z,0.48339844,6.0,90.35156,43998.324,496.76425,698.8467,41.6008,-87.5569
0,2003-03-27T05:47:11Z,0.48339844,8.0,91.31836,28998.896,299.20084,501.28323,41.5979,-87.7369
0,2003-03-27T05:47:11Z,0.48339844,3.0,91.31836,29998.86,311.46378,513.54614,41.5977,-87.7249
0,2003-03-27T05:47:11Z,0.48339844,12.0,91.31836,30998.82,323.8564,525.9388,41.5974,-87.7129
0,2003-03-27T05:47:11Z,0.48339844,5.5,91.31836,31998.783,336.37875,538.4611,41.5972,-87.7010
0,2003-03-27T05:47:11Z,0.48339844,1.5,91.31836,32998.746,349.0308,551.1132,41.5969,-87.6890
0,2003-03-27T05:47:11Z,0.48339844,-1.0,91.31836,33998.707,361.81256,563.89496,41.5967,-87.6770
0,2003-03-27T05:47:11Z,0.48339844,7.0,91.31836,34998.668,374.72403,576.80646,41.5964,-87.6650
0,2003-03-27T05:47:11Z,0.48339844,5.0,91.31836,35998.63,387.76523,589.8476,41.5962,-87.6530
0,2003-03-27T05:47:11Z,0.48339844,9.5,91.31836,36998.594,400.9361,603.0185,41.5959,-87.6410
0,2003-03-27T05:47:11Z,0.48339844,10.0,91.31836,37998.555,414.23672,616.3191,41.5957,-87.6290
0,2003-03-27T05:47:11Z,0.48339844,0.5,91.31836,38998.516,427.66702,629.74945,41.5954,-87.6170
0,2003-03-27T05:47:11Z,0.48339844,1.5,91.31836,39998.477,441.22705,643.30945,41.5952,-87.6050
0,2003-03-27T05:47:11Z,0.48339844,6.5,91.31836,40998.44,454.91678,656.9992,41.5949,-87.5930
0,2003-03-27T05:47:11Z,0.48339844,5.5,91.31836,41998.402,468.73624,670.8186,41.5946,-87.5810
0,2003-03-27T05:47:11Z,0.48339844,3.5,91.31836,42998.363,482.6854,684.76776,41.5944,-87.5691
0,2003-03-27T05:47:11Z,0.48339844,1.5,91.31836,43998.324,496.76425,698.8467,41.5941,-87.5571
0,2003-03-27T05:47:11Z,0.48339844,10.0,92.3291,28998.896,299.20084,501.28323,41.5933,-87.7371
0,2003-03-27T05:47:11Z,0.48339844,2.5,92.3291,29998.86,311.46378,513.54614,41.5929,-87.7252
0,2003-03-27T05:47:11Z,0.48339844,8.5,92.3291,30998.82,323.8564,525.9388,41.5925,-87.7132
0,2003-03-27T05:47:11Z,0.48339844,5.0,92.3291,31998.783,336.37875,538.4611,41.5921,-87.7012
0,2003-03-27T05:47:11Z,0.48339844,4.0,92.3291,32998.746,349.0308,551.1132,41.5917,-87.6892
0,2003-03-27T05:47:11Z,0.48339844,13.5,92.3291,33998.707,361.81256,563.89496,41.5913,-87.6772
0,2003-03-27T05:47:11Z,0.48339844,4.5,92.3291,34998.668,374.72403,576.80646,41.5909,-87.6652
0,2003-03-27T05:47:11Z,0.48339844,2.5,92.3291,35998.63,387.76523,589.8476,41.5905,-87.6533
0,2003-03-27T05:47:11Z,0.48339844,9.0,92.3291,36998.594,400.9361,603.0185,41.5900,-87.6413
0,2003-03-27T05:47:11Z,0.48339844,9.5,92.3291,37998.555,414.23672,616.3191,41.5896,-87.6293
0,2003-03-27T05:47:11Z,0.48339844,3.5,92.3291,38998.516,427.66702,629.74945,41.5892,-87.6173
0,2003-03-27T05:47:11Z,0.48339844,5.0,92.3291,39998.477,441.22705,643.30945,41.5888,-87.6053
0,2003-03-27T05:47:11Z,0.48339844,7.5,92.3291,40998.44,454.91678,656.9992,41.5884,-87.5934
0,2003-03-27T05:47:11Z,0.48339844,5.5,92.3291,41998.402,468.73624,670.8186,41.5880,-87.5814
0,2003-03-27T05:47:11Z,0.48339844,9.5,92.3291,42998.363,482.6854,684.76776,41.5876,-87.5694
0,2003-03-27T05:47:11Z,0.48339844,9.5,92.3291,43998.324,496.76425,698.8467,41.5871,-87.5574
0,2003-03-27T05:47:11Z,0.48339844,9.0,93.2959,29998.86,311.46378,513.54614,41.5884,-87.7255
0,2003-03-27T05:47:11Z,0.48339844,5.0,93.2959,30998.82,323.8564,525.9388,41.5878,-87.7135
0,2003-03-27T05:47:11Z,0.48339844,5.0,93.2959,31998.783,336.37875,538.4611,41.5872,-87.7015
0,2003-03-27T05:47:11Z,0.48339844,6.0,93.2959,32998.746,349.0308,551.1132,41.5867,-87.6896
0,2003-03-27T05:47:11Z,0.48339844,8.0,93.2959,33998.707,361.81256,563.89496,41.5861,-87.6776
0,2003-03-27T05:47:11Z,0.48339844,6.5,93.2959,34998.668,374.72403,576.80646,41.5856,-87.6656
0,2003-03-27T05:47:11Z,0.48339844,7.5,93.2959,35998.63,387.76523,589.8476,41.5850,-87.6537
0,2003-03-27T05:47:11Z,0.48339844,-0.5,93.2959,36998.594,400.9361,603.0185,41.5844,-87.6417
0,2003-03-27T05:47:11Z,0.48339844,7.0,93.2959,37998.555,414.23672,616.3191,41.5839,-87.6297
0,2003-03-27T05:47:11Z,0.48339844,5.0,93.2959,38998.516,427.66702,629.74945,41.5833,-87.6178
0,2003-03-27T05:47:11Z,0.48339844,-1.0,93.2959,39998.477,441.22705,643.30945,41.5827,-87.6058
0,2003-03-27T05:47:11Z,0.48339844,4.0,93.2959,40998.44,454.91678,656.9992,41.5822,-87.5938
0,2003-03-27T05:47:11Z,0.48339844,-6.0,93.2959,41998.402,468.73624,670.8186,41.5816,-87.5818
0,2003-03-27T05:47:11Z,0.48339844,9.5,93.2959,42998.363,482.6854,684.76776,41.5810,-87.5699
0,2003-03-27T05:47:11Z,0.48339844,9.0,93.2959,43998.324,496.76425,698.8467,41.5805,-87.5579
0,2003-03-27T05:47:11Z,0.48339844,9.5,94.30664,29998.86,311.46378,513.54614,41.5836,-87.7259
0,2003-03-27T05:47:11Z,0.48339844,6.0,94.30664,30998.82,323.8564,525.9388,41.5829,-87.7140
0,2003-03-27T05:47:11Z,0.48339844,8.0,94.30664,31998.783,336.37875,538.4611,41.5822,-87.7020
